Number,Name,Type,Value,Query,Note,Role,Depend On
15,Dashboard POSe Revenue Regional Only - v01,Dashboard,https://drive.google.com/file/d/1VfLUtOytPXoeVxuL8qk994tagwUJIyLi/view?usp=drive_link,,,TAP,"[6,16]"
16,transform-pivot-pose_all_subscription_per_sales_per_month,Index,"{""mappings"":{""properties"":{""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""cdc_sync_at"":{""type"":""date""},""created_at"":{""type"":""date""},""deleted_at"":{""type"":""date""},""deposit_price"":{""type"":""long""},""expired_date"":{""type"":""date""},""greatest_updated_at"":{""type"":""date""},""id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""is_first_time"":{""type"":""boolean""},""is_paid"":{""type"":""boolean""},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kab_kot_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kec_kel_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_phone"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_pose_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_province_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""payment_date"":{""type"":""date""},""payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""qty"":{""type"":""long""},""regional_office"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_referral_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""source"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""started_date"":{""type"":""date""},""submission_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_price"":{""type"":""long""}}}}","{""id"":""transform-pivot-pose_all_subscription_per_sales_per_month-v01"",""authorization"":{""roles"":[""[ROL] DBI Intern"",""superuser""]},""version"":""10.0.0"",""create_time"":1768883409667,""source"":{""index"":[""cdc-tap-dm_pose_subscriptions""],""query"":{""bool"":{""must"":[{""term"":{""is_paid"":true}}]}}},""dest"":{""index"":""transform-pivot-pose_all_subscription_per_sales_per_month""},""sync"":{""time"":{""field"":""cdc_sync_at"",""delay"":""60s""}},""pivot"":{""group_by"":{""sales_name"":{""terms"":{""field"":""sales_name.keyword""}},""regional_office"":{""terms"":{""field"":""regional_office.keyword""}},""submission_type"":{""terms"":{""field"":""submission_type.keyword""}},""created_at"":{""date_histogram"":{""field"":""created_at"",""calendar_interval"":""1M"",""time_zone"":""Asia/Jakarta""}}},""aggregations"":{""sum.subscription_price"":{""sum"":{""field"":""subscription_price""}}}},""description"":""Mendapatkan Summary Subscription Price per Sales per Month"",""settings"":{}}",source: dari no 5,,[6]
17,Dashboard Reseller POSe Revenue,Dashboard,https://drive.google.com/file/d/12AdebB1OC_yWN9bt1lHaV4IrRB2p4xK4/view?usp=drive_link,,,TAP,"[6,18]"
18,subscription_qrset_marketing,Index,"{""mappings"":{""properties"":{""cdc_sync_at"":{""type"":""date""},""created_at"":{""type"":""date""},""expired_date"":{""type"":""date""},""greatest_updated_at"":{""type"":""date""},""id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""is_first_time"":{""type"":""boolean""},""is_paid"":{""type"":""boolean""},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_phone"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""regional_office"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""source"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_price"":{""type"":""long""},""tag"":{""type"":""keyword""}}}}",,belum ditemukan table di postgre,,[6]
21,Dashboard Monitoring TAP Marketing - v01,Dashboard,https://drive.google.com/file/d/16aWJ1-OMl2EDD6RpwMZnsLkg1Pw8BXXU/view?usp=drive_link,,,TAP,[22]
22,cdc-tap-submission_poses,Index,"{""mappings"":{""properties"":{""@timestamp"":{""type"":""date""},""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""current_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""current_package_price"":{""type"":""long""},""current_package_started_at"":{""type"":""date""},""expired_at"":{""type"":""date""},""first_payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_payment_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_payment_price"":{""type"":""long""},""first_subscribe_at"":{""type"":""date""},""greatest_cdc_sync_at"":{""type"":""date""},""greatest_updated_at"":{""type"":""date""},""is_active"":{""type"":""long""},""manager_ro_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_category"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_created_at"":{""type"":""date""},""merchant_deleted_at"":{""type"":""date""},""merchant_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kab_kot_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kab_kot_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kec_kel_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kec_kel_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_phone"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_pose_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_province_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_province_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_type_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""mid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""pose_subscription_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""ro_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""ro_kab_kota_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""ro_kab_kota_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""ro_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""ro_province_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""ro_province_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_area"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_company"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_id"":{""type"":""long""},""sales_head_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_id"":{""type"":""long""},""sales_leader_id"":{""type"":""long""},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_id"":{""type"":""long""},""sales_manager_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_nik_pcs"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_referral_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_pose_created_at"":{""type"":""date""},""submission_pose_deleted_at"":{""type"":""date""},""submission_pose_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_pose_is_revision"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_pose_note"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_pose_revision_at"":{""type"":""date""},""submission_pose_status_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_pose_status_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_pose_updated_at"":{""type"":""date""},""submission_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""submission_type_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscribe_payment"":{""type"":""long""},""subscribe_payment_date"":{""type"":""date""},""tags"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""total_recurring_payment"":{""type"":""long""},""training_date"":{""type"":""date""},""transform_at"":{""type"":""date""}}}}",,perlu di cek lagi table dibawah benar/tidak,,[27]
25,Dashboard POSe Revenue Digital Marketing - v01,Dashboard,https://drive.google.com/file/d/1DUHCV18_pOQDbUr3W_2YN1KHfc6LVWiL/view?usp=drive_link,,,TAP,"[6,16]"
26,TAP Sales POSe Mobile - v04,Dashboard,https://drive.google.com/file/d/1WLmrYmXAYVSVJlxxHiDDczYwpDy5XnD_/view?usp=drive_link,,,TAP,"[6,22]"
27,s_cdc_tap.submission_poses,Table,"-- s_cdc_tap.submission_poses definition -- Drop table -- DROP TABLE s_cdc_tap.submission_poses; CREATE TABLE s_cdc_tap.submission_poses ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, merchant_type int8 NULL, submission_type text NULL, merchant_id int8 NULL, tids text NULL, merchant_name text NULL, pic_name text NULL, pic_phone text NULL, pic_email text NULL, ro_mavis_id int8 NULL, user_id int8 NULL, user_name text NULL, training_date timestamp(6) NULL, status int8 NULL, note text NULL, is_revision int2 DEFAULT 0 NULL, revision_at timestamp(6) NULL, address text NULL, district_id text NULL, regency_id int8 NULL, tag int8 DEFAULT 1 NULL, pose_subscription_id int8 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, nik text NULL, qris_nik text NULL, business_description text NULL, qris_npwp text NULL, qris_account_number text NULL, ""position"" text NULL, qris_account_name text NULL, qris_bank text NULL, CONSTRAINT submission_poses_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_submission_poses_cdc_sync_at_utc ON s_cdc_tap.submission_poses USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_submission_poses_created_at ON s_cdc_tap.submission_poses USING btree (created_at); CREATE INDEX i_cdc_tap_submission_poses_district_id ON s_cdc_tap.submission_poses USING btree (district_id); CREATE INDEX i_cdc_tap_submission_poses_is_revision ON s_cdc_tap.submission_poses USING btree (is_revision); CREATE INDEX i_cdc_tap_submission_poses_merchant_id ON s_cdc_tap.submission_poses USING btree (merchant_id); CREATE INDEX i_cdc_tap_submission_poses_merchant_name ON s_cdc_tap.submission_poses USING btree (merchant_name); CREATE INDEX i_cdc_tap_submission_poses_merchant_type ON s_cdc_tap.submission_poses USING btree (merchant_type); CREATE INDEX i_cdc_tap_submission_poses_pose_subscription_id ON s_cdc_tap.submission_poses USING btree (pose_subscription_id); CREATE INDEX i_cdc_tap_submission_poses_regency_id ON s_cdc_tap.submission_poses USING btree (regency_id); CREATE INDEX i_cdc_tap_submission_poses_revision_at ON s_cdc_tap.submission_poses USING btree (revision_at); CREATE INDEX i_cdc_tap_submission_poses_ro_mavis_id ON s_cdc_tap.submission_poses USING btree (ro_mavis_id); CREATE INDEX i_cdc_tap_submission_poses_status ON s_cdc_tap.submission_poses USING btree (status); CREATE INDEX i_cdc_tap_submission_poses_tag ON s_cdc_tap.submission_poses USING btree (tag); CREATE INDEX i_cdc_tap_submission_poses_tids ON s_cdc_tap.submission_poses USING btree (""left""(tids, 8)); CREATE INDEX i_cdc_tap_submission_poses_training_date ON s_cdc_tap.submission_poses USING btree (training_date); CREATE INDEX i_cdc_tap_submission_poses_user_id ON s_cdc_tap.submission_poses USING btree (user_id); CREATE INDEX i_cdc_tap_submission_poses_user_name ON s_cdc_tap.submission_poses USING btree (user_name);",,,,
29,s_staging.stg_pengajuan_pose_qrset,Table,"-- s_staging.stg_pengajuan_pose_qrset definition -- Drop table -- DROP TABLE s_staging.stg_pengajuan_pose_qrset; CREATE TABLE s_staging.stg_pengajuan_pose_qrset ( id text NOT NULL, ""timestamp"" timestamptz NULL, regional_office text NULL, meri_name text NULL, leader_name text NULL, jenis_pengajuan text NULL, subscribe_package text NULL, total_revenue text NULL, merchant_name text NULL, merchant_address text NULL, owner_name text NULL, owner_phone text NULL, serial_number text NULL, owner_email text NULL, menu_photo text NULL, qr_statis_photo text NULL, owner_identity_photo text NULL, fra_photo text NULL, jumlah_pengajuan text NULL, privacy_policy text NULL, front_merchant_photo text NULL, surat_kuasa text NULL, npwp text NULL, side_merchant_photo text NULL, inside_merchant_photo text NULL, no_rekening text NULL, rekening_name text NULL, description text NULL, pose_type text NULL, jumlah_dan_tid text NULL, bukti_subscribe text NULL, invoice_pembayaran text NULL, payment_status text NULL, ""implementation"" text NULL, expired_date timestamptz NULL, paid_date timestamptz NULL, updated_at timestamptz DEFAULT now() NULL, merchant_username text NULL, CONSTRAINT pengajuan_pose_qrset_pkey PRIMARY KEY (id) );",,,,
32,s_cdc_cl.users,Table,"CREATE TABLE s_cdc_cl.users ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, ""name"" text NULL, ""password"" text NULL, initial text NULL, email text NULL, role_id int8 NULL, phone_number int8 NULL, passcode text NULL, invalid_count int8 NULL, refresh_token text NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT users_pkey PRIMARY KEY (id) );",,,,
33,s_cdc_subscription.users,Table,"-- s_cdc_subscription.users definition -- Drop table -- DROP TABLE s_cdc_subscription.users; CREATE TABLE s_cdc_subscription.users ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, email text NULL, username text NULL, fullname text NULL, ""password"" text NULL, no_hp text NULL, pin int8 NULL, firebase_id text NULL, wallet float8 NULL, access_token text NULL, refresh_token text NULL, ""type"" int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT users_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_subscription_users_created_at ON s_cdc_subscription.users USING btree (created_at);",,,,
34,s_cdc_cl.roles,Table,"-- s_cdc_cl.roles definition -- Drop table -- DROP TABLE s_cdc_cl.roles; CREATE TABLE s_cdc_cl.roles ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, ""name"" text NULL, description text NULL, super_user int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT roles_pkey PRIMARY KEY (id) );",,,,
35,s_cdc_cl.mid_employees,Table,"-- s_cdc_cl.mid_employees definition -- Drop table -- DROP TABLE s_cdc_cl.mid_employees; CREATE TABLE s_cdc_cl.mid_employees ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, user_id int8 NULL, mid_id int8 NULL, status int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT mid_employees_pkey PRIMARY KEY (id) );",,,,
36,s_cdc_cl.attendances,Table,"-- s_cdc_cl.attendances definition -- Drop table -- DROP TABLE s_cdc_cl.attendances; CREATE TABLE s_cdc_cl.attendances ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, employement_id int8 NULL, tid text NULL, check_in timestamp(6) NULL, check_out timestamp(6) NULL, add_info text NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT attendances_pkey PRIMARY KEY (id) );",,,,
37,s_cdc_mongocl.user_points,Table,"-- s_cdc_mongocl.user_points definition -- Drop table -- DROP TABLE s_cdc_mongocl.user_points; CREATE TABLE s_cdc_mongocl.user_points ( id text NOT NULL, _id text NULL, createdat timestamp(6) NULL, updatedat timestamp(6) NULL, datetime timestamp(6) NULL, userid int8 NULL, point float8 NULL, mid text NULL, tid text NULL, rc text NULL, statuspoint int4 NULL, paymenttype text NULL, paymentcategory text NULL, paymentfeatures text NULL, transactionid text NULL, transactionidvoid text NULL, trxsettlement text NULL, referencenumber text NULL, tracenumber text NULL, transactionsettle_paid text NULL, transactionsettle_unpaid text NULL, transactionsettle_void text NULL, __deleted bool NULL, cdc_sync_at_utc timestamp(6) NULL, note text NULL, rewardname text NULL, rewardid int8 NULL, phone text NULL, ""day"" int4 NULL, CONSTRAINT user_points_pkey PRIMARY KEY (id) );",,,,
38,s_view.dim_date,Table,"CREATE TABLE s_view.dim_date ( date_id date NOT NULL, ""year"" int4 NULL, quarter int4 NULL, ""month"" int4 NULL, month_name text NULL, week_of_year int4 NULL, day_of_week int4 NULL, day_name text NULL, day_of_month int4 NULL, is_weekend bool NULL, CONSTRAINT dim_date_pkey PRIMARY KEY (date_id) );",,,,
39,s_cdc_tap.ro_mavis,Table,"CREATE TABLE s_cdc_tap.ro_mavis ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, ""name"" text NULL, address text NULL, province_id int8 NULL, regency_id int8 NULL, longitude float8 NULL, latitude float8 NULL, user_tag_id int8 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT ro_mavis_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_ro_mavis_cdc_sync_at_utc ON s_cdc_tap.ro_mavis USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_ro_mavis_created_at ON s_cdc_tap.ro_mavis USING btree (created_at); CREATE INDEX i_cdc_tap_ro_mavis_province_id ON s_cdc_tap.ro_mavis USING btree (province_id); CREATE INDEX i_cdc_tap_ro_mavis_regency_id ON s_cdc_tap.ro_mavis USING btree (regency_id); CREATE INDEX i_cdc_tap_ro_mavis_user_tag_id ON s_cdc_tap.ro_mavis USING btree (user_tag_id);",,,,
40,s_view.pose_subs_log,View,"-- s_view.pose_subs_log source CREATE OR REPLACE VIEW s_view.pose_subs_log AS WITH RECURSIVE tap_order AS ( SELECT pose_subscription_histories.order_id, pose_subscription_histories.pose_subscription_id, pose_subscription_histories.updated_at, pose_subscription_histories.cdc_sync_at_utc FROM s_cdc_tap.pose_subscription_histories WHERE pose_subscription_histories.subscribe_at IS NOT NULL ), subs_detail AS ( SELECT GREATEST(sdl.created_at, ps.updated_at) AS created_at, GREATEST(sdl.updated_at, ps.updated_at) AS updated_at, GREATEST(sdl.cdc_sync_at_utc, ps.cdc_sync_at_utc) AS cdc_sync_at_utc, sdl.subs_log_id, sdl.package_service_id, sdl.qty, sdl.qty * ps.price AS price, ps.name FROM s_cdc_subscription.subs_detail_logs sdl LEFT JOIN s_cdc_subscription.package_services ps ON ps.id = sdl.package_service_id ), raw_data AS ( SELECT ssl.id, ssl.created_at, ssl.updated_at, ssl.deleted_at, ssl.user_id, ssl.package_sub_id, ssl.is_paid, ssl.is_first_time, ssl.payment_method, ssl.payment_date, ssl.start_date, ssl.expired_date, ssl.bank_code, ssl.bank_name, ssl.adm_fee, ssl.payment_link, ssl.order_id, ssl.total_price, ssl.type, ssl.__deleted, ssl.cdc_sync_at_utc, sum( CASE WHEN sps.service_id = 1 THEN sps.price::numeric WHEN sps.service_id = 2 THEN (sd.price * sps.period)::numeric * 0.89 ELSE 0::numeric END) OVER (PARTITION BY ssl.order_id) AS total_order_price, CASE WHEN sps.service_id = 1 THEN sps.price::numeric WHEN sps.service_id = 2 THEN (sd.price * sps.period)::numeric * 0.89 ELSE NULL::bigint::numeric END AS price, sd.qty, ssl.voucher_value, CASE WHEN sps.service_id = 1 THEN ssl.tax::numeric WHEN sps.service_id = 2 THEN (sd.price * sps.period)::numeric * 0.11 ELSE NULL::bigint::numeric END AS tax, CASE WHEN sps.service_id = 1 THEN 'POSe Mobile'::text WHEN sps.service_id = 2 THEN sd.name ELSE NULL::text END AS name, sps.service_id, sd.package_service_id, sps.period, sps.bonus, sps.uom, sps.code, su.username, su.email, su.fullname, su.no_hp, su.wallet, pu.merchant_id, too.pose_subscription_id, sps.updated_at AS sps_updated_at, sps.cdc_sync_at_utc AS sps_cdc_sync_at_utc, too.updated_at AS too_updated_at, too.cdc_sync_at_utc AS too_cdc_sync_at_utc, sd.created_at AS sd_created_at, sd.updated_at AS sd_updated_at, sd.cdc_sync_at_utc AS sd_cdc_sync_at_utc FROM s_cdc_subscription.subs_logs ssl LEFT JOIN s_cdc_subscription.package_subs sps ON ssl.package_sub_id = sps.id LEFT JOIN tap_order too ON too.order_id = ssl.order_id LEFT JOIN s_cdc_subscription.users su ON su.id = ssl.user_id LEFT JOIN ( SELECT users.username, users.merchant_id, row_number() OVER (PARTITION BY users.username ORDER BY users.created_at DESC, users.id DESC) AS rn FROM s_cdc_pose.users) pu ON pu.username = su.username AND pu.rn = 1 LEFT JOIN subs_detail sd ON sd.subs_log_id = ssl.id WHERE ssl.is_paid = 1 ), ordered_subs AS ( SELECT distinct_subs.id, distinct_subs.username, distinct_subs.payment_date, distinct_subs.period, distinct_subs.bonus, distinct_subs.uom, row_number() OVER (PARTITION BY distinct_subs.username ORDER BY distinct_subs.payment_date, distinct_subs.id) AS rn FROM ( SELECT DISTINCT raw_data.id, raw_data.username, raw_data.payment_date, raw_data.period, raw_data.bonus, raw_data.uom FROM raw_data) distinct_subs ), cte_dates AS ( SELECT r.id, r.username, r.rn, r.payment_date::timestamp with time zone AS start_date, (r.payment_date::date + concat_ws(' '::text, r.period + r.bonus, r.uom)::interval + '1 day'::interval - '00:00:01'::interval)::timestamp with time zone AS expired_date FROM ordered_subs r WHERE r.rn = 1 UNION ALL SELECT r.id, r.username, r.rn, CASE WHEN r.payment_date > rec.expired_date THEN r.payment_date::timestamp with time zone ELSE rec.expired_date + '00:00:01'::interval END AS start_date, CASE WHEN r.payment_date > rec.expired_date THEN r.payment_date::timestamp with time zone ELSE rec.expired_date + '00:00:01'::interval END + concat_ws(' '::text, r.period + r.bonus, r.uom)::interval + '1 day'::interval - '00:00:01'::interval AS expired_date FROM ordered_subs r JOIN cte_dates rec ON r.username = rec.username AND r.rn = (rec.rn + 1) ) SELECT rd.id AS subs_id, rd.pose_subscription_id, rd.user_id, rd.merchant_id, rd.username, rd.fullname, rd.email, rd.no_hp, rd.wallet, rd.order_id, rd.price, rd.qty, CASE WHEN rd.total_order_price > 0::numeric THEN rd.price / rd.total_order_price * rd.voucher_value::numeric ELSE 0::numeric END AS voucher_value_item, rd.voucher_value, rd.tax, rd.name, rd.service_id, rd.package_service_id, rd.period, rd.uom, rd.code, concat_ws(' '::text, rd.period, rd.uom) AS package, concat_ws(' '::text, rd.period + rd.bonus, rd.uom) AS real_package, NULLIF(rd.payment_method, ''::text) AS payment_method, rd.payment_date, cd.start_date, cd.expired_date, rd.is_first_time, rd.is_paid, rd.bank_code, rd.bank_name, rd.package_sub_id, CASE WHEN now() >= cd.start_date AND now() <= cd.expired_date AND rd.is_paid = 1 THEN 1 ELSE 0 END AS is_active, rd.created_at, GREATEST(rd.updated_at, rd.sps_updated_at, rd.too_updated_at, rd.sd_updated_at) AS updated_at, rd.deleted_at, GREATEST(rd.cdc_sync_at_utc, rd.sps_cdc_sync_at_utc, rd.too_cdc_sync_at_utc, rd.sd_cdc_sync_at_utc) AS cdc_sync_at_utc FROM raw_data rd JOIN cte_dates cd ON rd.id = cd.id;",,dijoin,,"[47,48,49,50,51,52,53]"
