Number,Name,Type,Value,Query,Note,Role,Depend On
1,[DBD] Dashboard Population POSe QR Set - v01,Dashboard,https://drive.google.com/file/d/1BPEQ9BkwWue-ERYPEGkQawuaxzoaq95X/view?usp=drive_link,,,OPS,"[2, 3]"
2,transform-pivot-population_enrichment_per_merchant_per_month,Index,"{""mappings"":{""_meta"":{""created_by"":""transform"",""_transform"":{""transform"":""transform-pivot-population_enrichment_per_merchant_per_month-v03"",""version"":{""created"":""10.0.0""},""creation_date_in_millis"":1762228186598}},""properties"":{""@timestamp"":{""type"":""date""},""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""average"":{""properties"":{""trx_count"":{""type"":""double""},""trx_revenue"":{""type"":""double""}}},""client_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""client_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""company_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""company_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""date_id"":{""type"":""date""},""first_payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_payment_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_subscribe_at"":{""type"":""date""},""is_initial_subscription"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""manager_ro_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""median"":{""properties"":{""trx_count"":{""properties"":{""50"":{""type"":""double""}}},""trx_revenue"":{""properties"":{""50"":{""type"":""double""}}}}},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_id"":{""type"":""keyword""},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""role_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_leader_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sl"":{""properties"":{""__deleted"":{""properties"":{""keyword"":{""type"":""keyword""}}},""client_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""client_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""company_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""company_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""doc_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""first_payment_method"":{""properties"":{""keyword"":{""type"":""keyword""}}},""first_payment_package"":{""properties"":{""keyword"":{""type"":""keyword""}}},""first_subscribe_at"":{""type"":""date""},""is_initial_subscription"":{""properties"":{""keyword"":{""type"":""keyword""}}},""manager_ro_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""merchant_address"":{""properties"":{""keyword"":{""type"":""keyword""}}},""merchant_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""role_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""sales_head_id"":{""type"":""long""},""sales_head_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""sales_id"":{""type"":""long""},""sales_leader_id"":{""type"":""long""},""sales_leader_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""sales_manager_id"":{""type"":""long""},""sales_manager_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""sales_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""store_address"":{""properties"":{""keyword"":{""type"":""keyword""}}},""store_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""store_mid"":{""properties"":{""keyword"":{""type"":""keyword""}}},""store_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_bank_code"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_bank_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_email"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_expired_date"":{""type"":""date""},""subscription_fullname"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_no_hp"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_order_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_package_period"":{""type"":""long""},""subscription_package_sub_id"":{""type"":""long""},""subscription_package_uom"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_payment_method"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_start_date"":{""type"":""date""},""subscription_status"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_user_id"":{""type"":""long""},""subscription_username"":{""properties"":{""keyword"":{""type"":""keyword""}}},""subscription_voucher_code"":{""properties"":{""keyword"":{""type"":""keyword""}}},""tags"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_brand"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_is_mobile"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_model"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_poi"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_sn"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_tid"":{""properties"":{""keyword"":{""type"":""keyword""}}},""terminal_user_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""trx_sn"":{""properties"":{""keyword"":{""type"":""keyword""}}},""trx_tid"":{""properties"":{""keyword"":{""type"":""keyword""}}},""user_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""user_name"":{""properties"":{""keyword"":{""type"":""keyword""}}},""user_role_id"":{""properties"":{""keyword"":{""type"":""keyword""}}},""user_username"":{""properties"":{""keyword"":{""type"":""keyword""}}}}},""store_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_mid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_bank_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_bank_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_expired_date"":{""type"":""date""},""subscription_fullname"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_no_hp"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_order_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package_period"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package_sub_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package_uom"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_start_date"":{""type"":""date""},""subscription_status"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_user_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_voucher_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sum"":{""properties"":{""total_revenue_by_bri"":{""type"":""double""},""total_revenue_by_bri_active"":{""type"":""double""},""trx_count"":{""type"":""double""},""trx_count_by_bri"":{""type"":""double""},""trx_count_by_bri_active"":{""type"":""double""},""trx_revenue"":{""type"":""double""}}},""tags"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_is_mobile"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_model"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_poi"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_sn"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_type"":{""type"":""keyword""},""terminal_user_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""trx_days"":{""properties"":{""count"":{""type"":""long""}}},""trx_days_active"":{""properties"":{""count"":{""type"":""long""}}},""trx_sn"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""trx_tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_role_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}}}}}","{""id"":""transform-pivot-population_enrichment_per_merchant_per_month-v03"",""authorization"":{""roles"":[""superuser""]},""version"":""10.0.0"",""create_time"":1761030626618,""source"":{""index"":[""cdc-pose-pose_pop_trx_sum_hist""],""query"":{""match_all"":{}},""runtime_mappings"":{""subscription_package_period_str"":{""type"":""keyword"",""script"":{""source"":""if (doc['subscription_package_period'].size() != 0\r\n){\r\n    def pkg = doc['subscription_package_period'].value.toString();\r\n    emit(pkg + \"" month\"");\r\n}""}}}},""dest"":{""index"":""transform-pivot-population_enrichment_per_merchant_per_month"",""pipeline"":""logstash_ingest-transform-pivot-population_enrichment_per_merchant_per_month""},""sync"":{""time"":{""field"":""@timestamp"",""delay"":""60s""}},""pivot"":{""group_by"":{""merchant_id"":{""terms"":{""field"":""merchant_id.keyword""}},""terminal_type"":{""terms"":{""field"":""terminal_type.keyword""}},""date_id"":{""date_histogram"":{""field"":""date_id"",""calendar_interval"":""1M"",""time_zone"":""Asia/Jakarta""}}},""aggregations"":{""sl"":{""top_metrics"":{""metrics"":[{""field"":""__deleted.keyword""},{""field"":""client_id.keyword""},{""field"":""client_name.keyword""},{""field"":""company_id.keyword""},{""field"":""company_name.keyword""},{""field"":""doc_id.keyword""},{""field"":""first_payment_method.keyword""},{""field"":""first_payment_package.keyword""},{""field"":""first_subscribe_at""},{""field"":""is_initial_subscription.keyword""},{""field"":""manager_ro_name.keyword""},{""field"":""merchant_address.keyword""},{""field"":""merchant_name.keyword""},{""field"":""role_name.keyword""},{""field"":""sales_head_id""},{""field"":""sales_head_name.keyword""},{""field"":""sales_leader_id""},{""field"":""sales_leader_name.keyword""},{""field"":""sales_manager_id""},{""field"":""sales_manager_name.keyword""},{""field"":""sales_id""},{""field"":""sales_name.keyword""},{""field"":""store_address.keyword""},{""field"":""store_id.keyword""},{""field"":""store_mid.keyword""},{""field"":""store_name.keyword""},{""field"":""subscription_bank_code.keyword""},{""field"":""subscription_bank_name.keyword""},{""field"":""subscription_email.keyword""},{""field"":""subscription_expired_date""},{""field"":""subscription_fullname.keyword""},{""field"":""subscription_no_hp.keyword""},{""field"":""subscription_order_id.keyword""},{""field"":""subscription_package_sub_id""},{""field"":""subscription_package_uom.keyword""},{""field"":""subscription_package_period""},{""field"":""subscription_payment_method.keyword""},{""field"":""subscription_start_date""},{""field"":""subscription_status.keyword""},{""field"":""subscription_username.keyword""},{""field"":""subscription_user_id""},{""field"":""subscription_voucher_code.keyword""},{""field"":""tags.keyword""},{""field"":""terminal_brand.keyword""},{""field"":""terminal_id.keyword""},{""field"":""terminal_is_mobile.keyword""},{""field"":""terminal_model.keyword""},{""field"":""terminal_poi.keyword""},{""field"":""terminal_sn.keyword""},{""field"":""terminal_tid.keyword""},{""field"":""terminal_user_id.keyword""},{""field"":""trx_sn.keyword""},{""field"":""trx_tid.keyword""},{""field"":""user_id.keyword""},{""field"":""user_name.keyword""},{""field"":""user_role_id.keyword""},{""field"":""user_username.keyword""}],""sort"":{""date_id"":""desc""}}},""median.trx_revenue"":{""percentiles"":{""field"":""total_revenue"",""percents"":[50]}},""sum.trx_revenue"":{""sum"":{""field"":""total_revenue""}},""average.trx_revenue"":{""avg"":{""field"":""total_revenue""}},""median.trx_count"":{""percentiles"":{""field"":""trx_count"",""percents"":[50]}},""sum.trx_count"":{""sum"":{""field"":""trx_count""}},""average.trx_count"":{""avg"":{""field"":""trx_count""}},""sum.total_revenue_by_bri"":{""sum"":{""field"":""total_revenue_by_bri""}},""sum.total_revenue_by_bri_active"":{""sum"":{""field"":""total_revenue_by_bri_active""}},""sum.trx_count_by_bri"":{""sum"":{""field"":""trx_count_by_bri""}},""sum.trx_count_by_bri_active"":{""sum"":{""field"":""trx_count_by_bri_active""}},""trx_days"":{""filter"":{""range"":{""trx_count"":{""gt"":0}}},""aggs"":{""count"":{""value_count"":{""field"":""date_id""}}}},""trx_days_active"":{""filter"":{""range"":{""trx_count_active"":{""gt"":0}}},""aggs"":{""count"":{""value_count"":{""field"":""date_id""}}}}}},""description"":""Mendapatkan Summary per Merchant per Month (Update: adding terminal_type into group by, removing terminal_type from top metric field)"",""settings"":{}}",,OPS,[3]
3,cdc-pose-pose_pop_trx_sum_hist,Index,"{""mappings"":{""properties"":{""@timestamp"":{""type"":""date""},""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""cdc_sync_at"":{""type"":""date""},""client_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""client_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""company_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""company_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""date_created_client"":{""type"":""date""},""date_created_company"":{""type"":""date""},""date_created_merchant"":{""type"":""date""},""date_created_store"":{""type"":""date""},""date_created_subscription"":{""type"":""date""},""date_created_terminal"":{""type"":""date""},""date_created_user"":{""type"":""date""},""date_deleted_client"":{""type"":""date""},""date_deleted_company"":{""type"":""date""},""date_deleted_merchant"":{""type"":""date""},""date_deleted_store"":{""type"":""date""},""date_deleted_subscription"":{""type"":""date""},""date_deleted_terminal"":{""type"":""date""},""date_deleted_user"":{""type"":""date""},""date_id"":{""type"":""date""},""date_updated_client"":{""type"":""date""},""date_updated_company"":{""type"":""date""},""date_updated_merchant"":{""type"":""date""},""date_updated_store"":{""type"":""date""},""date_updated_subscription"":{""type"":""date""},""date_updated_terminal"":{""type"":""date""},""date_updated_user"":{""type"":""date""},""doc_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_payment_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_payment_price"":{""type"":""long""},""first_subscribe_at"":{""type"":""date""},""greatest_cdc_sync_at"":{""type"":""date""},""greatest_updated_at"":{""type"":""date""},""is_initial_subscription"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""is_outdated"":{""type"":""boolean""},""is_population"":{""type"":""boolean""},""last_hb_app_version"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_device_brand"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_device_model"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_iccid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_iso_3166_2"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_latitude"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_longitude"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_sim_card"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""last_hb_sim_group"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""manager_ro_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""role_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_id"":{""type"":""long""},""sales_head_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_id"":{""type"":""long""},""sales_leader_id"":{""type"":""long""},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_id"":{""type"":""long""},""sales_manager_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_category"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_city"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_inacash_active"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_mid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_province"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_subcategory"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""store_target"":{""type"":""long""},""store_target_by_company"":{""type"":""long""},""subscription_bank_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_bank_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_expired_date"":{""type"":""date""},""subscription_fullname"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_no_hp"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_order_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_out_date"":{""type"":""date""},""subscription_package_period"":{""type"":""long""},""subscription_package_price"":{""type"":""long""},""subscription_package_sub_id"":{""type"":""long""},""subscription_package_uom"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_payment_date"":{""type"":""date""},""subscription_payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_start_date"":{""type"":""date""},""subscription_status"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_user_id"":{""type"":""long""},""subscription_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_voucher_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_wallet"":{""type"":""long""},""tags"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_brand"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_dismantle_at"":{""type"":""date""},""terminal_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_is_mobile"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_model"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_poi"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_sn"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""terminal_user_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""total_revenue"":{""type"":""long""},""total_revenue_active"":{""type"":""long""},""total_revenue_by_bri"":{""type"":""long""},""total_revenue_by_bri_active"":{""type"":""long""},""total_revenue_inacash_qr_dinamis"":{""type"":""long""},""total_revenue_inacash_qr_statis"":{""type"":""long""},""trx_count"":{""type"":""long""},""trx_count_active"":{""type"":""long""},""trx_count_by_bri"":{""type"":""long""},""trx_count_by_bri_active"":{""type"":""long""},""trx_count_inacash_qr_dinamis"":{""type"":""long""},""trx_count_inacash_qr_statis"":{""type"":""long""},""trx_sn"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""trx_tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_role_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}}}}}",,,OPS,[4]
